"Year"	"East_NG"	"West_NG"	"Block_B_gas"	"CVX_gas"	"LNG"	"Dom_coal_4b_5"	"Dom_coal_6"	"Dom_coal_7"	"Imp_coal"	"AVERAGE COAL"	"AVERAGE GAS"
2014	4,92	4,92	-	-	9,75	3,99	3,91	3,84	4,18	3,98	3,92
2015	4,92	4,92	-	-	9,75	3,99	3,91	3,84	4,18	3,98	3,92
2016	4,92	4,92	-	-	9,75	3,99	3,91	3,84	4,18	3,98	3,92
2017	4,92	4,92	-	-	9,75	3,99	3,91	3,84	4,18	3,98	3,92
2018	5,79	5,27	-	-	10,86	4,45	4,36	4,27	4,66	4,43	4,39
2019	6,66	5,62	-	-	11,40	3,78	3,71	3,63	3,98	3,78	4,74
2020	7,53	5,97	-	-	9,84	3,35	3,28	3,22	3,54	3,35	4,67
2021	7,91	5,97	2,05	1,71	9,95	3,32	3,26	3,19	3,51	3,32	5,52
2022	8,30	5,97	4,10	3,43	10,06	3,21	3,15	3,09	3,40	3,21	6,37
2023	8,68	5,97	6,15	5,14	10,17	3,24	3,18	3,12	3,43	3,24	7,22
2024	9,07	5,97	8,20	6,86	10,29	3,25	3,19	3,12	3,44	3,25	8,08
2025	9,45	5,97	10,26	8,57	10,41	3,24	3,18	3,12	3,43	3,24	8,93
2026	9,71	5,97	10,52	8,80	10,55	3,29	3,23	3,16	3,68	3,34	9,11
2027	9,96	5,97	10,78	9,02	10,69	3,33	3,27	3,20	3,72	3,38	9,28
2028	10,22	5,97	11,04	9,24	10,84	3,39	3,32	3,26	3,78	3,44	9,46
2029	10,47	5,97	11,30	9,47	11,00	3,45	3,38	3,31	3,83	3,49	9,64
2030	10,73	5,97	11,56	9,69	11,17	3,51	3,44	3,37	3,90	3,55	9,82
2031	10,79	5,97	11,57	9,70	11,17	3,52	3,45	3,38	3,91	3,56	9,84
2032	10,84	5,97	11,58	9,71	11,17	3,53	3,46	3,39	3,92	3,57	9,85
2033	10,90	5,97	11,59	9,72	11,17	3,54	3,47	3,40	3,93	3,58	9,87
2034	10,96	5,97	11,60	9,72	11,17	3,56	3,49	3,42	3,95	3,60	9,88
2035	11,01	5,97	11,61	9,73	11,17	3,57	3,50	3,43	3,96	3,61	9,90
2036	10,97	5,98	11,61	9,74	11,19	3,58	3,51	3,44	3,97	3,62	9,90
2037	10,94	5,99	11,62	9,75	11,21	3,59	3,52	3,44	3,98	3,63	9,90
2038	10,90	6,00	11,63	9,76	11,23	3,61	3,53	3,46	3,99	3,65	9,90
2039	10,86	6,00	11,64	9,76	11,25	3,62	3,54	3,47	4,01	3,66	9,90
2040	10,82	6,01	11,65	9,77	11,26	3,63	3,55	3,48	4,02	3,67	9,90
2041	10,82	6,01	11,65	9,77	11,26	3,64	3,56	3,49	4,03	3,68	9,90
2042	10,82	6,01	11,65	9,77	11,26	3,65	3,57	3,50	4,04	3,69	9,90
2043	10,82	6,01	11,65	9,77	11,26	3,67	3,59	3,52	4,05	3,71	9,90
2044	10,82	6,01	11,65	9,77	11,26	3,68	3,60	3,53	4,07	3,72	9,90
2045	10,82	6,01	11,65	9,77	11,26	3,68	3,61	3,54	4,08	3,73	9,90
2046	10,82	6,01	11,65	9,77	11,26	3,69	3,62	3,55	4,09	3,74	9,90
2047	10,82	6,01	11,65	9,77	11,26	3,71	3,64	3,57	4,10	3,76	9,90
2048	10,82	6,01	11,65	9,77	11,26	3,72	3,65	3,58	4,12	3,77	9,90
2049	10,82	6,01	11,65	9,77	11,26	3,73	3,66	3,59	4,13	3,78	9,90
2050	10,82	6,01	11,65	9,77	11,26	3,74	3,67	3,60	4,14	3,79	9,90
