"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>","VN.DA.CL",NA,"","Qu<U+1EAD>n","Urban District","","Cam Le"
2,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu","VN.DA.HC",NA,"","Huy<U+1EC7>n","District","","Hai Chau"
3,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang","VN.DA.HV",NA,"","Huy<U+1EC7>n","District","","Hoa Vang"
4,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",4,"Liên Chi<U+1EC3>u","VN.DA.LC",NA,"","Huy<U+1EC7>n","District","","Lien Chieu"
5,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",5,"Ngu Hành Son","VN.DA.NH",NA,"","Huy<U+1EC7>n","District","","Ngu Hanh Son"
6,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",6,"Son Trà","VN.DA.ST",NA,"","Huy<U+1EC7>n","District","","Son Tra"
7,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",7,"Thanh Khê","VN.DA.TK",NA,"","Huy<U+1EC7>n","District","","Thanh Khe"
8,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",8,"Ð<U+1ECB>nh Quán","VN.DN.DQ",NA,"","Huy<U+1EC7>n","District","","Dinh Quan"
9,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",9,"Bien Hoa","VN.DN.BH",NA,"","Than Pho","City","",""
10,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",10,"C<U+1EA9>m M<U+1EF9>","VN.DN.CM",NA,"","Huy<U+1EC7>n","District","",""
11,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",11,"Long Khánh","VN.DN.LK",NA,"","Huy<U+1EC7>n","District","","Long Khanh"
12,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",12,"Long Thành","VN.DN.LT",NA,"","Huy<U+1EC7>n","District","","Long Thanh"
13,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",13,"Nhon Tr<U+1EA1>ch","VN.DN.NT",NA,"","Huy<U+1EC7>n","District","","Nhon Trach"
14,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",14,"Tân Phú","VN.DN.TP",NA,"","Huy<U+1EC7>n","District","","Tan Phu"
15,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",15,"Th<U+1ED1>ng Nh<U+1EA5>t","VN.DN.TN",NA,"","Huy<U+1EC7>n","District","","Thong Nhat"
16,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",16,"Tr<U+1EA3>ng Bom","VN.DN.TB",NA,"","Huy<U+1EC7>n","District","","Trang Bom"
17,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",17,"Vinh C<U+1EED>u","VN.DN.VC",NA,"","Huy<U+1EC7>n","District","","Vinh Cuu"
18,250,"VNM","Vietnam",2,"Ð<U+1ED3>ng Nai",18,"Xuân L<U+1ED9>c","VN.DN.XL",NA,"","Huy<U+1EC7>n","District","","Xuan Loc"
19,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",19,"Cao Lãnh","VN.DT.CH",NA,"","Huy<U+1EC7>n","District","","Cao Lanh"
20,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",20,"Cao Lanh","VN.DT.CH",NA,"","Huy<U+1EC7>n","District","",""
21,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",21,"Châu Thành","VN.DT.CT",NA,"","Huy<U+1EC7>n","District","","Chau Thanh"
22,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",22,"H<U+1ED3>ng Ng<U+1EF1>","VN.DT.HN",NA,"","Huy<U+1EC7>n","District","","Hong Ngu"
23,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",23,"Lai Vung","VN.DT.LV",NA,"","Huy<U+1EC7>n","District","","Lai Vung"
24,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",24,"L<U+1EA5>p Vò","VN.DT.LP",NA,"","Huy<U+1EC7>n","District","","Lap Vo"
25,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",25,"Sa Ðéc","VN.DT.SD",NA,"","Thi xa","Township","","Sa Dec"
26,250,"VNM","Vietnam",3,"Ð<U+1ED3>ng Tháp",26,"Tân H<U+1ED3>ng","VN.DT.TH",NA,"","Huy<U+1EC7>n","District","","Tan Hong"
