"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",1,"Hòa Phát",NA,"","Commune","Commune","",""
2,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",2,"Hòa Xuân",NA,"","Commune","Commune","",""
3,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",1,"C<U+1EA9>m L<U+1EC7>",3,"Khuê Trung",NA,"","Ward","Ward","",""
4,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",4,"Bình Hiên",NA,"","Ward","Ward","",""
5,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",5,"Bình Thu<U+1EAD>n",NA,"","Ward","Ward","",""
6,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",6,"Hòa Cu<U+1EDD>ng B<U+1EAF>c",NA,"","Ward","Ward","",""
7,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",7,"Hòa Cu<U+1EDD>ng Nam",NA,"","Ward","Ward","",""
8,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",8,"Hòa Thu<U+1EAD>n Ðông",NA,"","Ward","Ward","",""
9,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",9,"Hòa Thu<U+1EAD>n Tây",NA,"","Ward","Ward","",""
10,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",10,"H<U+1EA3>i Châu 1",NA,"","Ward","Ward","",""
11,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",11,"H<U+1EA3>i Châu 2",NA,"","Ward","Ward","",""
12,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",12,"Nam Duong",NA,"","Ward","Ward","",""
13,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",13,"Phu<U+1EDB>c Ninh",NA,"","Ward","Ward","",""
14,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",14,"Thánh Bình",NA,"","Ward","Ward","",""
15,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",15,"Th<U+1EA1>ch Th<U+1EAF>ng",NA,"","Ward","Ward","",""
16,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",2,"H<U+1EA3>i Châu",16,"Thu<U+1EAD>n Phu<U+1EDB>c",NA,"","Ward","Ward","",""
17,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",17,"Hòa B<U+1EAF>c",NA,"","Commune","Commune","",""
18,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",18,"Hòa Châu",NA,"","Commune","Commune","",""
19,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",19,"Hòa Khuong",NA,"","Commune","Commune","",""
20,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",20,"Hòa Liên",NA,"","Commune","Commune","",""
21,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",21,"Hòa Nhon",NA,"","Commune","Commune","",""
22,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",22,"Hòa Ninh",NA,"","Commune","Commune","",""
23,250,"VNM","Vietnam",1,"Ðà N<U+1EB5>ng",3,"Hoà Vang",23,"Hòa Phu<U+1EDB>c",NA,"","Commune","Commune","",""
